time/ms;on
1475775;1
1475887;0
1476616;1
1477503;0
1477838;1
1478437;0
1479065;1
1479303;0
1479951;1
1481085;0
1481237;1
1482117;0
1483245;1
1483537;0
1484362;1
1485487;0
1485946;1
1486528;0
1487043;1
1487543;0
1487924;1
1488737;0
1489098;1
1489345;0
1489613;1
1490472;0
1490934;1
1491126;0
1491305;1
1491729;0
1492043;1
1492868;0
1493593;1
1494707;0
1495082;1
1495985;0
1496092;1
1497074;0
1497608;1
1498072;0
1498876;1
1499222;0
1500015;1
1500216;0
1500416;1
1500616;0
1500816;1
1501016;0
1501216;1
1501416;0
1501616;1
1501816;0
1505016;1
1505354;0
1505888;1
1506752;0
1507830;1
1509019;0
1509710;1
1510850;0
1511036;1
1511892;0
1512036;1
1512403;0
1512704;1
1513521;0
1514351;1
1515169;0
1516287;1
1516614;0
1517297;1
1517562;0
1517754;1
1517975;0
1518528;1
1519636;0
1519853;1
1520826;0
1521126;1
1521615;0
1522529;1
1523192;0
1524085;1
1524765;0
1525193;1
1526227;0
1527364;1
1528261;0
1528779;1
1529131;0
1530130;1
1530764;0
1531587;1
1531888;0
1532634;1
1532903;0
1533529;1
1534285;0
1535182;1
1536184;0
1537317;1
1537952;0
1538390;1
1538890;0
1540010;1
1540723;0
1541708;1
1542464;0
1542930;1
1543141;0
1543289;1
1544336;0
1545198;1
1546028;0
1546389;1
1547389;0
1548270;1
1548807;0
1549510;1
1549954;0
1550965;1
1551242;0
1551868;1
1552753;0
1553179;1
1553612;0
1554628;1
1555293;0
1556457;1
1557200;0
1557659;1
1558344;0
1559289;1
1560202;0
1560791;1
1561386;0
1562404;1
1563471;0
1564513;1
1565369;0
1565491;1
1565771;0
1566888;1
1567637;0
1567799;1
1568949;0
1569183;1
1570030;0
1570582;1
1571390;0
1572082;1
1572674;0
1573246;1
1573439;0
1574434;1
1575382;0
1575975;1
1576907;0
1577070;1
1578058;0
1578391;1
1578922;0
1579785;1
1580556;0
1581556;1
1582006;0
1583033;1
1584207;0
1585336;1
1586017;0
1587124;1
1587664;0
1587921;1
1588422;0
1589211;1
1589999;0
1590119;1
1590887;0
1591260;1
1591548;0
1591888;1
1593032;0
1594003;1
1594578;0
1595206;1
1595492;0
1596070;1
1596368;0
1597204;1
1597320;0
1598518;1
1599152;0
1599508;1
1599636;0
1600632;1
1600908;0
1601173;1
1601335;0
1602252;1
1602885;0
1603658;1
1604139;0
1604968;1
1606064;0
1606995;1
1607545;0
1607867;1
1608009;0
1608222;1
1608569;0
1608690;1
1609799;0
1610370;1
1611120;0
1611678;1
1612313;0
1612938;1
1613197;0
1613876;1
1614555;0
1615468;1
1615640;0
1615858;1
1616190;0
1617385;1
1618070;0
1619264;1
1619953;0
1620920;1
1621688;0
1622227;1
1623243;0
1623661;1
1624621;0
1625427;1
1626568;0
1627325;1
1627435;0
1628563;1
1629539;0
1630659;1
1631290;0
1631714;1
1632004;0
1632587;1
1633452;0
1633795;1
1634115;0
1634251;1
1635223;0
1636299;1
1636965;0
1637989;1
1638507;0
1639299;1
1639545;0
1639946;1
1640662;0
1641549;1
1642489;0
1643647;1
1644344;0
1645109;1
1646121;0
1646785;1
1647241;0
1647763;1
1648960;0
1650151;1
1651214;0
1651814;1
1652300;0
1652654;1
1653228;0
1654136;1
1654499;0
1654690;1
1654790;0
1655668;1
1656774;0
1657181;1
1657785;0
1658887;1
1659353;0
1659958;1
1660637;0
1661373;1
1661568;0
1662279;1
1662974;0
1664154;1
1665146;0
1665703;1
1666694;0
1667528;1
1668204;0
1668727;1
1669733;0
1670125;1
1671288;0
1671902;1
1672190;0
1672760;1
1672996;0
1673387;1
1674068;0
1674981;1
1675371;0
1676554;1
1677080;0
1677918;1
1678486;0
1679055;1
1679980;0
1680722;1
1681577;0
1682082;1
1682962;0
1684033;1
1685029;0
1685362;1
1686480;0
1686955;1
1687488;0
1687960;1
1688993;0
1689562;1
1690633;0
1691335;1
1692451;0
1692711;1
1693675;0
1694857;1
1695398;0
1695553;1
1695662;0
1696776;1
1697341;0
1698028;1
1698332;0
1699440;1
1699791;0
1700794;1
1701886;0
1702604;1
1703598;0
1704011;1
1704574;0
1704765;1
